Ultimo,Abertura,Maxima,Minima,Ultimo_2,Abertura_2,Maxima_2,Minima_2,Ultimo_3,Abertura_3,Maxima_3,Minima_3,Dia_seguinte
1.0127,0.9848,1.0165,0.9829,1.0013,1.0127,1.0317,0.9939,1.0022,1.0013,1.0150,0.9913,0.9913
1.0013,1.0127,1.0317,0.9939,1.0022,1.0013,1.0150,0.9913,0.9913,1.0013,1.0099,0.9906,0.9950
1.0022,1.0013,1.0150,0.9913,0.9913,1.0022,1.0099,0.9906,0.9950,0.9913,1.0001,0.9895,0.9926
0.9913,1.0022,1.0099,0.9906,0.9950,0.9913,1.0001,0.9895,0.9926,0.9950,0.9986,0.9864,0.9952
0.9950,0.9913,1.0001,0.9895,0.9926,0.9950,0.9986,0.9864,0.9952,0.9926,1.0000,0.9867,1.0006
0.9926,0.9950,0.9986,0.9864,0.9952,0.9926,1.0000,0.9867,1.0006,0.9952,1.0063,0.9893,0.9977
0.9952,0.9926,1.0000,0.9867,1.0006,0.9952,1.0063,0.9893,0.9977,1.0006,1.0049,0.9935,1.0014
1.0006,0.9952,1.0063,0.9893,0.9977,1.0006,1.0049,0.9935,1.0014,0.9977,1.0062,0.9930,1.0012
0.9977,1.0006,1.0049,0.9935,1.0014,0.9977,1.0062,0.9930,1.0012,1.0014,1.0033,0.9946,1.0070
1.0014,0.9977,1.0062,0.9930,1.0012,1.0014,1.0033,0.9946,1.0070,1.0012,1.0131,0.9972,1.0012
1.0012,1.0014,1.0033,0.9946,1.0070,1.0012,1.0131,0.9972,1.0012,1.0070,1.0079,0.9944,0.9999
1.0070,1.0012,1.0131,0.9972,1.0012,1.0070,1.0079,0.9944,0.9999,1.0012,1.0065,0.9973,1.0054
1.0012,1.0070,1.0079,0.9944,0.9999,1.0012,1.0065,0.9973,1.0054,0.9999,1.0152,0.9959,0.9966
0.9999,1.0012,1.0065,0.9973,1.0054,0.9999,1.0152,0.9959,0.9966,1.0054,1.0095,0.9948,0.9957
1.0054,0.9999,1.0152,0.9959,0.9966,1.0054,1.0095,0.9948,0.9957,0.9966,1.0042,0.9905,0.9988
0.9966,1.0054,1.0095,0.9948,0.9957,0.9966,1.0042,0.9905,0.9988,0.9957,1.0037,0.9871,1.0007
0.9957,0.9966,1.0042,0.9905,0.9988,0.9957,1.0037,0.9871,1.0007,0.9988,1.0068,0.9973,1.0006
0.9988,0.9957,1.0037,0.9871,1.0007,0.9988,1.0068,0.9973,1.0006,1.0007,1.0077,0.9981,0.9985
1.0007,0.9988,1.0068,0.9973,1.0006,1.0007,1.0077,0.9981,0.9985,1.0006,1.0057,0.9966,1.0008
1.0006,1.0007,1.0077,0.9981,0.9985,1.0006,1.0057,0.9966,1.0008,0.9985,1.0040,0.9970,1.0021
0.9985,1.0006,1.0057,0.9966,1.0008,0.9985,1.0040,0.9970,1.0021,1.0008,1.0110,0.9989,0.9960
1.0008,0.9985,1.0040,0.9970,1.0021,1.0008,1.0110,0.9989,0.9960,1.0021,1.0057,0.9951,0.9983
1.0021,1.0008,1.0110,0.9989,0.9960,1.0021,1.0057,0.9951,0.9983,0.9960,1.0113,0.9933,0.9986
0.9960,1.0021,1.0057,0.9951,0.9983,0.9960,1.0113,0.9933,0.9986,0.9983,1.0033,0.9932,0.9993
0.9983,0.9960,1.0113,0.9933,0.9986,0.9983,1.0033,0.9932,0.9993,0.9986,1.0033,0.9946,0.9983
0.9986,0.9983,1.0033,0.9932,0.9993,0.9986,1.0033,0.9946,0.9983,0.9993,1.0047,0.9955,0.9983
0.9993,0.9986,1.0033,0.9946,0.9983,0.9993,1.0047,0.9955,0.9983,0.9983,1.0091,0.9967,0.9939
0.9983,0.9993,1.0047,0.9955,0.9983,0.9983,1.0091,0.9967,0.9939,0.9988,1.0005,0.9850,0.9985
0.9983,0.9983,1.0091,0.9967,0.9939,0.9988,1.0005,0.9850,0.9985,0.9925,1.0006,0.9916,0.9964
0.9939,0.9988,1.0005,0.9850,0.9985,0.9925,1.0006,0.9916,0.9964,0.9985,1.0079,0.9766,1.0026
0.9985,0.9925,1.0006,0.9916,0.9964,0.9985,1.0079,0.9766,1.0026,0.9964,1.0171,0.9924,1.0011
0.9964,0.9985,1.0079,0.9766,1.0026,0.9964,1.0171,0.9924,1.0011,1.0026,1.0079,0.9969,0.9847
1.0026,0.9964,1.0171,0.9924,1.0011,1.0026,1.0079,0.9969,0.9847,1.0011,1.0024,0.9793,0.9958
1.0011,1.0026,1.0079,0.9969,0.9847,1.0011,1.0024,0.9793,0.9958,0.9847,0.9976,0.9724,1.0015
0.9847,1.0011,1.0024,0.9793,0.9958,0.9847,0.9976,0.9724,1.0015,0.9958,1.0029,0.9896,1.0005
0.9958,0.9847,0.9976,0.9724,1.0015,0.9958,1.0029,0.9896,1.0005,1.0016,1.0061,0.9999,1.0012
1.0015,0.9958,1.0029,0.9896,1.0005,1.0016,1.0061,0.9999,1.0012,1.0005,1.0067,1.0001,1.0017
1.0005,1.0016,1.0061,0.9999,1.0012,1.0005,1.0067,1.0001,1.0017,1.0012,1.0036,1.0000,1.0028
1.0012,1.0005,1.0067,1.0001,1.0017,1.0012,1.0036,1.0000,1.0028,1.0017,1.0087,0.9956,1.0011
1.0017,1.0012,1.0036,1.0000,1.0028,1.0017,1.0087,0.9956,1.0011,1.0028,1.0035,0.9751,1.0014
1.0028,1.0017,1.0087,0.9956,1.0011,1.0028,1.0035,0.9751,1.0014,1.0012,1.0037,0.9939,1.0033
1.0011,1.0028,1.0035,0.9751,1.0014,1.0012,1.0037,0.9939,1.0033,1.0014,1.0062,0.9994,1.0032
1.0014,1.0012,1.0037,0.9939,1.0033,1.0014,1.0062,0.9994,1.0032,1.0032,1.0065,1.0006,1.0009
1.0033,1.0014,1.0062,0.9994,1.0032,1.0032,1.0065,1.0006,1.0009,1.0032,1.0055,0.9873,0.9994
1.0032,1.0032,1.0065,1.0006,1.0009,1.0032,1.0055,0.9873,0.9994,1.0011,1.0066,0.9643,1.0002
1.0009,1.0032,1.0055,0.9873,0.9994,1.0011,1.0066,0.9643,1.0002,0.9994,1.0020,0.9983,0.9991
0.9994,1.0011,1.0066,0.9643,1.0002,0.9994,1.0020,0.9983,0.9991,1.0002,1.0018,0.9852,0.9992
1.0002,0.9994,1.0020,0.9983,0.9991,1.0002,1.0018,0.9852,0.9992,0.9991,1.0123,0.9625,0.9996
0.9991,1.0002,1.0018,0.9852,0.9992,0.9991,1.0123,0.9625,0.9996,0.9992,1.0027,0.9970,1.0013
0.9992,0.9991,1.0123,0.9625,0.9996,0.9992,1.0027,0.9970,1.0013,0.9996,1.0039,0.9993,0.9991
0.9996,0.9992,1.0027,0.9970,1.0013,0.9996,1.0039,0.9993,0.9991,1.0013,1.0021,0.9980,0.9987
1.0013,0.9996,1.0039,0.9993,0.9991,1.0013,1.0021,0.9980,0.9987,0.9991,1.0005,0.9966,0.9990
0.9991,1.0013,1.0021,0.9980,0.9987,0.9991,1.0005,0.9966,0.9990,0.9987,1.0008,0.9953,1.0000
0.9987,0.9991,1.0005,0.9966,0.9990,0.9987,1.0008,0.9953,1.0000,0.9990,1.0032,0.9847,1.0017
0.9990,0.9987,1.0008,0.9953,1.0000,0.9990,1.0032,0.9847,1.0017,1.0001,1.0055,0.9971,1.0015
1.0000,0.9990,1.0032,0.9847,1.0017,1.0001,1.0055,0.9971,1.0015,1.0017,1.0149,0.9996,1.0006
1.0017,1.0001,1.0055,0.9971,1.0015,1.0017,1.0149,0.9996,1.0006,1.0015,1.0081,0.9747,1.0001
1.0015,1.0017,1.0149,0.9996,1.0006,1.0015,1.0081,0.9747,1.0001,1.0005,1.0102,0.9688,0.9993
1.0006,1.0015,1.0081,0.9747,1.0001,1.0005,1.0102,0.9688,0.9993,1.0002,1.0028,0.8814,0.9995
1.0001,1.0005,1.0102,0.9688,0.9993,1.0002,1.0028,0.8814,0.9995,0.9993,1.0004,0.9990,0.9976
0.9993,1.0002,1.0028,0.8814,0.9995,0.9993,1.0004,0.9990,0.9976,0.9995,0.9999,0.9976,0.9977
0.9995,0.9993,1.0004,0.9990,0.9976,0.9995,0.9999,0.9976,0.9977,0.9976,1.0003,0.9915,0.9985
0.9976,0.9995,0.9999,0.9976,0.9977,0.9976,1.0003,0.9915,0.9985,0.9977,1.0000,0.9974,0.9991
0.9977,0.9976,1.0003,0.9915,0.9985,0.9977,1.0000,0.9974,0.9991,0.9985,1.0034,0.9973,0.9992
0.9985,0.9977,1.0000,0.9974,0.9991,0.9985,1.0034,0.9973,0.9992,0.9991,1.0003,0.9925,0.9989
0.9991,0.9985,1.0034,0.9973,0.9992,0.9991,1.0003,0.9925,0.9989,0.9992,1.0042,0.9793,0.9977
0.9992,0.9991,1.0003,0.9925,0.9989,0.9992,1.0042,0.9793,0.9977,0.9990,1.0075,0.9914,0.9990
0.9989,0.9992,1.0042,0.9793,0.9977,0.9990,1.0075,0.9914,0.9990,0.9976,1.0119,0.9789,0.9993
0.9977,0.9990,1.0075,0.9914,0.9990,0.9976,1.0119,0.9789,0.9993,0.9990,1.0090,0.9746,1.0005
0.9990,0.9976,1.0119,0.9789,0.9993,0.9990,1.0090,0.9746,1.0005,0.9993,1.0048,0.9854,1.0000
